pH,TEMPERATURA (°C),CONDUCTIVIDAD ELÉCTRICA (µS/cm),NITRATOS (mg N-NO3/l)
7.55,22,86.9,0.735
7.5,23,97.8,0.675
7.42,22,104,0.647
7.24,23,114,0.635
7.34,23,121,0.653
7.18,23,130,0.695
7.29,23,128,0.678
7.47,25.4,125,1.16
7.48,26.1,123,1.21
7.52,25.4,135,0.861
7.49,27,125,1.25
6.87,24.6,143,0.905
6.35,20,85.1,0.66
6.25,20,85.4,0.39
7.08,20,83.9,0.26
6.86,22,81.9,0.25
6.96,22,83.9,0.78
7.17,16,101,0.315
7.06,16,104,0.396
7.05,18,108,0.626
7.02,18,125,0.41
7.05,19,133,0.35
6.94,19,149,0.32
7.03,20,153,0.27
7.08,20,174,0.33
7.04,20,166,0.29
7.28,25,166,0.41
7.62,26,176,0.43
7.26,26,184,0.63
7.42,25,189,0.76
7.41,26,199,1.16
6.7,23.5,144,"<0,0520"
6.72,23.5,184,"<0,0520"
7.06,23.5,111,0.572
7.16,23.6,145,0.247
7.28,22.3,110,0.68
7.87,24,124,1.09
7.64,23,130,0.709
7.66,24,135,0.816
7.78,25,150,1.68
7.33,26,155,1.09
7.03,26,184,1.4
7.05,27,202,0.348
7.16,26,205,1.46
7.16,26,186,0.678
7.45,25.1,171,1.87
7.48,23.8,180,1.48
7.34,24.3,171,2.02
7.44,24.3,174,1.28
7.55,23.5,159,1.27
7.07,25.5,112,0.346
7.12,24.3,87,0.355
7.34,24.7,92.8,0.334
7.38,25.7,81.6,0.382
7.31,25.4,82.2,0.379
7.33,25.6,87.5,0.42
7.28,24.9,88.3,0.422
7.25,24.6,92.8,0.485
7.16,24.6,108,0.43
6.98,24.1,143,0.438
6.83,25,121,0.429
6.94,23,120,0.434
6.98,23,147,0.509
7.02,23,129,0.5
7.05,23,167,0.6
6.92,24,137,0.784
7.03,23,129,0.957
7.06,23,136,1.05
6.94,20,171,0.966
7.53,27,102,"< 0,171"
7.38,25,99.9,"< 0,171"
7.5,26,122,"< 0,171"
7.58,26,92.3,"< 0,171"
7.5,26.6,129,0.284
7.21,23.8,105,0.31
7.43,24.2,145,0.315
7.14,24.4,110,0.36
7.11,24.7,130,0.33
7.08,25.5,133,0.407
7,25.3,144,0.333
7.02,25.7,155,0.299
7.08,26.2,147,0.382
7.11,26.2,147,0.385
7.25,28,140,0.526
7.22,25.5,148,0.516
7.25,25.1,135,0.855
7.28,24.8,137,0.816
7.45,24.7,127,0.972
7.44,23,65.1,0.316
7.41,23,64.1,0.305
7.71,23,59.6,0.292
7.75,23,60.7,0.291
7.84,23,62.9,0.31
7.54,22,79.1,0.316
7.49,22,86.4,0.344
7.21,22,97.9,0.313
7.3,21,102,0.352
7.14,21,101,0.383
7.33,22,114,0.42
7.49,22.5,125,0.391
7.51,22.3,162,0.856
7.44,21.8,151,0.559
7.6,22.2,233,0.247
7.4,20.3,125,0.302
7.43,21.2,129,0.459
7.32,20.5,144,0.602
5.32,22.2,126,0.479
6.77,21.2,94.8,0.358
6.71,21.5,88.4,0.351
6.88,21.9,86.4,0.337
6.88,22.4,86.5,0.344
7.24,24.1,89.4,0.355
7.2,28,110,0.368
7.24,23.8,97.9,0.355
7.16,23.9,103,0.372
6.41,23,114,0.379
6.96,24,116,0.384
6.96,23.7,131,0.387
7.48,24,131,0.39
7.34,24,144,"<0,202"
7.32,26,141,0.475
7.26,26,145,0.532
7.4,25,151,0.627
7.28,25,159,0.658
7.28,23,148,0.741
7.54,19,153,0.868
6.78,21.2,55,4.30E+02
687,218,687,2.30E+02
6.73,20.9,69.8,9.00E+02
6.67,20.9,556,9.30E+02
69,221,666,1.50E+03
6.72,21.2,71.9,9.00E+01
6.74,21.2,516,9.00E+02
74,23,620,9.30E+03
6.96,22,69,4.30E+02
6.75,21.6,531,9.00E+02
705,23,562,1.50E+04
6.97,22.7,70,9.30E+03
6.71,21.4,586,1.50E+03
728,223,600,2.40E+03
7.11,22.8,79.8,2.40E+04
6.87,21.6,134,1.50E+04
737,226,679,1.50E+04
7.31,22.9,81.9,4.30E+03
6.86,21.5,73,2.40E+04
72,223,76,4.30E+04
7.12,23.2,89.9,4.30E+03
6.94,21,692,4.30E+04
72,202,788,4.00E+04
7.1,22.5,95.3,9.30E+04
6.89,20.9,77,2.30E+05
712,219,875,1.50E+06
7.15,22.3,112,1.50E+08
6.91,20.9,784,9.00E+04
716,213,103,2.40E+06
7.1,22.8,113,4.30E+04
6.96,20.7,93,9.30E+04
729,218,107,5.00E+06
6.98,23.1,124,9.30E+06
7.51,19,107,2.30E+04
737,22,123,5.00E+07
7.14,24.6,115,4.30E+06
7.58,19,138,1.50E+03
726,22,119,1.50E+05
7.13,24.8,112,9.30E+04
6.49,19,108,7.30E+04
707,217,114,7.50E+05
6.9,24.5,114,4.30E+04
6.7,20,112,2.40E+04
678,221,123,1.50E+04
7.18,25.2,120,2.40E+04
6.53,20,134,4.30E+03
716,215,124,4.30E+05
7.16,24.5,129,1.50E+05
6.52,20,133,7.50E+03
71,218,147,7.30E+03
7.18,23.8,127,2.40E+04
6.57,19,135,2.30E+03
714,218,139,4.30E+03
7.19,22.7,139,4.30E+03
6.64,22.6,139,9.00E+04
688,218,138,9.30E+03
7.21,23.7,136,9.30E+04
