pH,TEMPERATURA (°C),CONDUCTIVIDAD ELÉCTRICA (µS/cm),NITRATOS (mg N-NO3/l)
7.2,,107.7,0.097
6.8,,117.5,0.177
6.6,24.5,141.5,0.202
6.5,24.5,141.5,0.257
6.6,24.5,150.9,0.118
6.5,25,150.9,0.162
7.2,22,51,0.224
7,22,127,0.767
6.7,21,113.4,0.574
6.8,22,108.8,0.59
6.6,22,108.8,1.18
6.5,22,80,0.177
6.7,22,80,0.195
6.8,22,84.9,0.07
6.6,23,113.2,0.213
6.6,24,122.6,0.184
7.1,22.1,103.7,0.118
7.1,22.5,108.4,0.312
7,22.4,115.2,0.188
6.8,22.3,108.4,0.345
7,22,84.9,0.14
6.7,22,84.9,0.28
6.5,20,62.9,0.149
6.5,20,72.4,0.114
6.6,20,67.4,0.133
6.6,20,62.3,0.128
6.4,22,82.2,0.171
6.6,20,72,0.074
6.8,18,78,0.104
6.7,18,76,0.16
6.7,18,82.1,0.161
6.7,18,78.9,0.077
6.6,18,89.8,0.154
6.5,18,91,0.118
6.6,18,100,0.181
6.5,19,98.3,0.234
6.6,13,116.7,0.097
7.2,13,118.8,0.173
6.4,13,119,0.397
7.3,13,113.8,0.329
6.8,13,118.9,0.371
7.2,21,83.2,0.1436
6.4,22,75.8,0.083
7,21,63.6,0.0722
7,22,66.7,0.1066
6.7,23,78.4,0.101
6.9,22,85.9,0.0641
6.9,22,92.6,0.0651
6.9,,97,0.0503
6.8,22,101.5,0.1056
6.7,22,105.9,0.2728
6.9,23,132.6,0.1521
7,23,141.9,0.1688
6.8,22,138.9,0.1835
6.9,22,136,0.3722
6.8,25,135,0.2437
6.8,23,154,0.1524
6.8,22,160.4,0.1331
6.9,22,169.5,0.3379
7,20,162.6,0.364
5.9,17,102.7,0.105
5.8,18,94.8,0.6771
6.1,18,88.4,0.2646
6.1,18,85,0.3078
6.4,20,82.4,0.1432
6.3,21,89.9,0.1753
6.5,21,94.2,0.1724
6.7,20,101.8,0.3389
6.6,21,113.6,0.1765
6.5,21,111.5,0.078
6.6,21,146.8,0.1544
6.5,22,148.8,0.2162
6.5,22,160.1,0.1553
6.5,22,166.7,0.1495
6.7,24,154.9,0.2057
6.5,24,169.9,0.4279
6.5,,179,0.2898
6.7,24,190.3,0.5499
6.6,23,189.9,0.4279
6.5,20,83.7,0.2738
6.4,21,75.6,0.1835
6.5,21,72.1,0.2738
6.5,20,72.1,0.5407
6.8,18,66.7,2.1036
6.7,22,89.3,1.5318
6.6,21,82.3,1.0038
6.3,20,84.2,0.54
6.3,20,90.6,0.5859
6.7,20,94.8,0.5816
6.6,20,127.7,0.5251
6.5,22,127.7,0.6141
6.5,18,115.8,1.0913
6.5,22,146,0.6324
6.9,24,134.4,1.1195
7.1,23,172.8,0.4009
7.4,23,163.2,1.1068
7.2,22,172.8,1.3369
6.2,22,168.3,0.8513
6.1,18,58.4,0.1921
6.2,18,62.6,0.2392
6.4,18,58.1,0.3045
6.4,18,62.6,0.1906
6.7,20,63.2,0.237
6.7,20,73.4,0.2727
6.7,20,75.5,0.2624
6.6,20,84.7,0.345
6.6,20,97.9,0.277
6.6,20.5,96,0.2688
6.7,20,113.4,0.2745
6.7,22,120,0.2499
6.7,22,125,0.3263
6.7,22,120,0.3299
6.9,22,117.5,0.2749
7,19,283.9,0.4374
7,20,129.2,0.3452
7.1,20,129.2,0.4045
7,20,127.3,0.4773
6.6,19.7,80,0.258
6.6,20.1,84,0.427
7,21.3,78.5,0.485
7,22,79.1,0.363
7,22,70,0.331
