Temperatura °C,Conductividad Eléctrica uS/cm,pH unidades de pH,Nitratos (mg N-NO3-/L)
21,82.2,7.2,0.195
19,84.2,7.1,0.19
23,99.8,6.8,0.17
23,107,7.2,0.115
24,119.7,7,0.166
26,145.1,6.8,0.147
25,146.9,7,0.191
,145.1,7,0.159
,191.7,6.9,0.13
,170.5,6.9,0.071
,169.7,7.2,0.33
22,197.2,6.9,0.47
22,198,7.5,0.63
22,188.6,7.6,0.82
22,188.6,7.4,0.79
20,188.6,7.5,0.84
20,78.3,6.6,0.213
20,68.5,6.5,0.148
20,68.5,7,0.556
20,68.5,6.7,0.188
22,78.3,6.7,0.166
20,94.7,7,0.21
20,105.3,6.9,0.19
20,127.68,6.8,0.15
20,136.9,6.9,0.14
20,147.4,7,0.16
22,75.4,7.1,0.192
22,84.9,7.2,0.476
22,94.3,7.2,0.181
22,94.3,7.3,0.421
22,156.6,7.2,1.62
22,156.6,7.5,0.658
22,166.4,7.8,0.181
22,166.4,7.9,0.228
22,176.2,7.8,1.86
20,94.3,6.5,0.118
20,94.3,6.6,0.243
20,84.8,6.2,0.417
21,84.8,6.6,0.523
21,75.4,6.4,0.162
22,146.9,6.6,3.74
22,88.1,6.8,2.53
20,75.4,7,0.29
22,47.2,7,0.297
22,75.4,7.3,0.337
,146.8,7.1,0.111
,146.8,7.1,0.097
,156.6,6.9,0.119
,146.8,6.9,0.148
24,160.3,7.5,0.344
24,169.7,7.5,0.04
24,160.3,7.4,0.337
24,169.7,7.3,0.396
24,169.7,7.1,0.417
20,75.4,6.8,0.049
20,78.3,6.5,0.082
20,68.5,6.7,0.126
20,68.5,6.7,0.1
21,68.5,6.7,0.169
22,94.3,6.6,0.297
22,94.3,7.1,0.199
23,103.7,6.6,0.17
,107.7,7.2,0.097
,117.5,6.8,0.177
24.5,141.5,6.6,0.202
24.5,141.5,6.5,0.257
24.5,150.9,6.6,0.118
25,150.9,6.5,0.162
22,51,7.2,0.224
22,127,7,0.767
21,113.4,6.7,0.574
22,108.8,6.8,0.59
22,108.8,6.6,1.18
22,80,6.5,0.177
22,80,6.7,0.195
22,84.9,6.8,0.07
23,113.2,6.6,0.213
24,122.6,6.6,0.184
22.1,103.7,7.1,0.118
22.5,108.4,7.1,0.312
22.4,115.2,7,0.188
22.3,108.4,6.8,0.345
22,84.9,7,0.14
22,84.9,6.7,0.28
20,62.9,6.5,0.149
20,72.4,6.5,0.114
20,67.4,6.6,0.133
20,62.3,6.6,0.128
22,82.2,6.4,0.171
20,72,6.6,0.074
18,78,6.8,0.104
18,76,6.7,0.16
18,82.1,6.7,0.161
18,78.9,6.7,0.077
18,89.8,6.6,0.154
18,91,6.5,0.118
18,100,6.6,0.181
19,98.3,6.5,0.234
13,116.7,6.6,0.097
13,118.8,7.2,0.173
13,119,6.4,0.397
13,113.8,7.3,0.329
13,118.9,6.8,0.371
21,83.2,7.2,0.1436
22,75.8,6.4,0.083
21,63.6,7,0.0722
22,66.7,7,0.1066
23,78.4,6.7,0.101
22,85.9,6.9,0.0641
22,92.6,6.9,0.0651
,97,6.9,0.0503
22,101.5,6.8,0.1056
22,105.9,6.7,0.2728
23,132.6,6.9,0.1521
23,141.9,7,0.1688
22,138.9,6.8,0.1835
22,136,6.9,0.3722
25,135,6.8,0.2437
23,154,6.8,0.1524
22,160.4,6.8,0.1331
22,169.5,6.9,0.3379
20,162.6,7,0.364
17,102.7,5.9,0.105
18,94.8,5.8,0.6771
18,88.4,6.1,0.2646
18,85,6.1,0.3078
20,82.4,6.4,0.1432
